n,p,method,time_mean,time_std,time_median
10000,10,xi_n,0.002477775133532608,6.0451892872886285e-05,0.0024588844999016146
10000,10,mi,0.04798070786679697,0.009137812450843791,0.04368864750085777
10000,10,pearson,0.0004327355002412029,1.9137613295737342e-05,0.0004299969996282016
10000,10,spearman,0.002351204599896543,6.886956661735325e-05,0.0023242334991664393
10000,50,xi_n,0.0024794321333805177,6.265136814506831e-05,0.0024558334998801
10000,50,mi,0.05038690326679595,0.015928633660378128,0.04392347999964841
10000,50,pearson,0.00043151419983284236,1.7521633545636787e-05,0.0004300620003050426
10000,50,spearman,0.002335127833430306,2.7801488476074982e-05,0.0023347735004790593
10000,100,xi_n,0.002625534033359145,0.0006299644644784221,0.002449261500260036
10000,100,mi,0.04658424606659537,0.008347866304449373,0.04336752899962448
10000,100,pearson,0.00042467083355101444,2.036171484638779e-05,0.000422021999838762
10000,100,spearman,0.0023240843999398444,3.014483316418156e-05,0.00231695049933478
10000,500,xi_n,0.002443222866592502,2.444139841019271e-05,0.0024415324987785425
10000,500,mi,0.057161320533547645,0.01881193339502896,0.045649413999854005
10000,500,pearson,0.00045055509987529754,3.5680208332859824e-05,0.000440265999714029
10000,500,spearman,0.002374793366774005,0.0001621310713789596,0.00234232200000406
10000,1000,xi_n,0.0025380923001042297,0.0004996101876242217,0.002442188500026532
10000,1000,mi,0.04534873233333201,0.006454683511323649,0.043286833499223576
10000,1000,pearson,0.0004433639665876399,4.906590996469919e-05,0.00043139949957549106
10000,1000,spearman,0.0024126090665959055,0.00018517964683969723,0.002361107000069751
